id,socre,doc,result,Precision,,AP
34,0.552114666,"Facebook reality. Facebook has changed a lot now, they  try to control what you see and share, they restrict your account when they feel or want to without you making something bad, wish we could be free to share our thoughts like we used to do before.",0,0.970588235,0,0.970588235
35,0.550724804,"I hate that I need it. Facebook steals all my personal information but because of business, I have no choice but to use it. If youre a manager please try other apps for your work groups.",1,0.971428571,0.971428571,0.970612245
36,0.549184561,"Not for Privacy. Over and over and over Facebook has proven they care nothing about their customers. Privacy is not one of their concerns as they collect and sell everything you see, search, post and share. Ive been with them for since the beginning but Im done with them and their corrupt evil ways. Id rather pay for a secure app than sell my soul for this free app remember, nothing is free. As the app is becoming overrun with pedophilia, political censorship, elimination of personal thoughts and limiting everyones freedoms of speech I will just distance myself from these types of people and behaviors. God Bless America",1,0.972222222,0.972222222,0.970656966
37,0.548081398,Intrusive. I dont feel my privacy is valued. But everyone insists on doing everything on Facebook so either I download it or be left out of everything.,1,0.972972973,0.972972973,0.970719561
38,0.547229052,"Facebooks CEO,admins, ignorance and carelessness. Facebook is not safe anymore. Nobody can have personal online privacy without local or unknown people placing their force fed unwanted advertising or personal blogging junk on others newsfeeds. Nobody can express themselves and their entitled opinions anymore without someone feeling so offended that they have to cry like a little 5 yr to Facebook admins as if the sky was about to fall on them. Facebooks community standards are nothing but a joke. Whats the purpose of having Facebook, Twitter and so on if one cant enjoy themselves safely and securely?",1,0.973684211,0.973684211,0.970797578
39,0.547101021,"Individuals believe that the database and privacy security features can be further improved. Facebook is praiseworthy of bringing convenience to the Internets social platforms, but at the same time there are also some areas that can further improve privacy and information security functions in social and media, and there are better defenses on data platforms.",1,0.974358974,0.974358974,0.970888896
40,0.546172321,Tracking and Stalking. They track everything. Its like having a personal stalker. Why do they need so much info on us? Will not continue with FB. I hope FB dies and Suckerburger loses all his money.,1,0.975,0.975,0.970991674
41,0.546167016,"Trojan horse. Facebook will become a trillion dollar company because of ALL the information they have on each and everyone of you. Be careful, if its free, you Are the product",1,0.975609756,0.975609756,0.97110431
42,0.546146929,"Completely Policed and Suffocates Freedom of Speech. The only benefit Facebook still has is connecting with friends and family I know closely. Other than that, they use their algorithms to tag normal factual things you post or say regarding current topics as false or requiring fact checking if they are contrary to Facebooks agenda. The few good things it provides are severely outweighed by all the toxic fear-mongering topics that are shared in accordance with Facebooks agenda. And good luck if you have facts or opinions that contradict this agenda youll be labeled as a false information spreader. Facebook is doing nothing but stressing people out and causing them to become more polarized and divided than ever. Shame on you, Facebook",0,0.952380952,0,0.947982779
43,0.545382977,Censorship and ads. I dont use Facebook much anymore. Their censoring and phony fact checking ends any discussion of the high-impact issues. Even murmuring to yourself gets you a bunch of ads related to what you murmured about.  I still post pictures of vacation and the dogs.,0,0.930232558,0,0.925936668
44,0.543818593,Tony p. Apple made it so permission is needed to track what I look at on other sites yet its pretty obvious youre not following this. I like what Facebook fundamentally stands for originally but its getting to the point where the constant tracking of everything I look at is getting old how about a reply from you explaining this,1,0.931818182,0.931818182,0.926070338
45,0.543338537,Garbage. Facebook is no longer safe in any way Dont put up pictures because they are now property of Facebook and you no longer have rights (even a picture of your own child). Any information is sold about you to whoever wants to pay or it. COMPLETE SECURITY BREACH,1,0.933333333,0.933333333,0.926231738
46,0.542378187,"Spyware. Facebook app is spyware. Just read the privacy section of the app store description for this app, and see for yourself how much this app collects information about and from you.",1,0.934782609,0.934782609,0.926417627
47,0.541002452,Horrible privacy. I cant stress enough how bad mark Zuckerberg and the rest of Facebook is with privacy. Thanks for exposing our credit cards and other data,1,0.936170213,0.936170213,0.926625129
48,0.540174961,Restricting/Banning. Facebook is restricting and banning accounts for sharing information from their own platform.  Regular users should not be attacked for sharing content that you allow on your platform.  The originator of the material should be the individual(s) in question.,0,0.916666667,0,0.907320438
49,0.539958119,Privacy exposure. I advice every Facebook user to delete the app and deactivate their account. I just found out that so many people private messages and pictures are being monitored by the administration. I saw my naked videos and pictures in a database since I started looking into it. A word for the wise is quite sufficient,1,0.918367347,0.918367347,0.907545886
50,0.539689779,"Zero customer care. Like many, my FB account was hacked and it was an absolute violation of my privacy.   Facebook allows hackers to advertise, then steal your account, and Facebook does NOTHING.  Facebook / Meta whatever he calls his company - is the worst of the worst of the worst.   Would NEVER do anything Zuckerberg offers again.  Lesson learned.",1,0.92,0.92,0.907794968
51,0.539124191,Privacy is Nonexistent. I am hoping to see Facebook broken up.,1,0.921568627,0.921568627,0.90806504
52,0.538878977,Privacy concerns. FB has become quite the big brother monitoring everything you do it seems-  targeting ads off things it apparently sees and hears you do outside of the app,1,0.923076923,0.923076923,0.90835373
53,0.537549078,"The People make this app Entertaining. Other than that, they steal your data. From who you are, where you live, your address, your phone number, your location. Your contacts, your email address. In some cases your credit card information. They track what you do. What you view on online stores. You can personalize the ads yes. Facebook also controls the ads you see on YouTube, Google, Amazon, Etc. I always deactivate my profile until I log back in for it to reactivate. Thats your best bet. If you dont use Facebook. Just do that, dont just delete the app. Youll be surprised how easy it is to find out information about someone. If they have a Facebook account. Even if you havent used your profile in 10+ years. It is still there..just deactivate it.",1,0.924528302,0.924528302,0.90865891
54,0.534546494,Facebook. Facebook sells your information. Its not a trusted site. Really should dismantled.,1,0.925925926,0.925925926,0.90897867
55,0.533676267,"Thank you Apple for guarding our privacy. Over the past year, Facebooks true intentions have been revealed. The world finally has gotten a glimpse at the man behind the curtain (a certain freckle skinned curly haired young CEO). Facebook does not care about choice, disclosures, or privacy. They want to control the entire experience. Many thanks to Apple for standing up to this very corrupt company and making it so users have a choice about such things as tracking. My only suggestion is to Apple: stop with the soft language when asking users if they wish to allow an app to track. To Facebook: your day of reckoning is upon you. The cat is out of the bag and the world is fully aware of your despicable behavior. Users are shutting down your tracking ability, advertisers are reconsidering their allotted Facebook advertising budgets, and Congress is debating how to real you in.",1,0.927272727,0.927272727,0.909311289
56,0.533107936,Dear Facebook. Stop selling my data and info pls,1,0.928571429,0.928571429,0.90965522
57,0.53178668,Zero privacy. Zuckerberg has the money/power to do what he wants with our information think about it,1,0.929824561,0.929824561,0.910009068
58,0.530762255,"Censorship, Propaganda and Ads. Facebooks main product is their users time. Its getting old.",0,0.913793103,0,0.894319257
59,0.530204535,"Feed mess, privacy mess, profit first mess. The FB/Meta platform doesnt create goodwill towards the community.  Instead, privacy breakdowns and lack of transparency to its valued assets, people, are not followed.  This issue is across their entire product line.  They havent proven themselves as trustworthy and dont make themselves accountable internally.",1,0.915254237,0.915254237,0.894674087
60,0.528891563,Help me understand. Why do I need to provide my card information to redownload Facebook? I dont make purchases from it so why does it need my account information to login???,1,0.916666667,0.916666667,0.89504063
61,0.52864939,I just hate Facebook. Its about privacy. At this point Im using it because forced by coworker and my job.,1,0.918032787,0.918032787,0.89541755
62,0.527392149,"Invasive, pandering to insecurities, mining info for advertising galore. Impossible to remove your information from.  Already an unethical amount of data on my child housed here via others comments and pictures (Facebook has created a ghost profile of her already).  Clearly between this and Instagram its designed to be as addictive as possible.  Shame our youth are allowed to waste their times on it. Creating a generation of insecurities.  Facebook was found to intentionally pander to negativity for clicks and add revenue.",1,0.919354839,0.919354839,0.895803636
63,0.527363837,Facebooks Inability to Privatize Profile Is Disgusting. The fact that they allow photos of my kids out float out there without my permission is absolutely horrendous. The photos are not from any family members. They are school pictures that allow name labeling without our permission.Facebook will sell your data to the next highest bidder. Run away from this app.,1,0.920634921,0.920634921,0.896197783
64,0.525314927,"Censorship. If you love to be told what to believe, have your beliefs swayed by elitist morons, and have your opinions and facts censored, Facebook is the app for you.FB is a communist platform that only allows the mainstream narrative.",0,0.90625,0,0.882194693
65,0.524729609,DANGEROUS SPYING WITHOUT USER PERMISSION. Pretty gross how Facebook was recently proven to collect plenty of user data without your permission and then use it against you,1,0.907692308,0.907692308,0.882586964
66,0.524309039,"Adapt or Die. Facebook needs a new business model, since the one it helped invent is now known as cyber-stalking. It&#39;s great that they helped the world realize this is a boundary, but they have yet to adapt to said realization. They intentionally do not allow you to update the photos they have access to from the app. If you cannot select which photos you want to share with them, you may be more inclined to share all of your photos out of convenience. Given their business is based on nonconsensual data harvesting, it&#39;s not a surprise to me.",1,0.909090909,0.909090909,0.882988539
67,0.522990644,Facebook fact checker. You share post of other peoples and  Facebook block us with up to 3 months without be able to share nothing .,0,0.895522388,0,0.869809605
68,0.521866262,"Facebook doesnt care about your security. I can report obviously fake profiles posting scam links & or malware, and every time they decided not to take the profile down.  The company consistently puts users and their information security at risk by their poor business practices and standards.",1,0.897058824,0.897058824,0.870210329
69,0.521147013,"The leak of privacy. FB is the worst social media alongside instagram viber and whatsup where you privacy is definitely ruined The only reason Ive been keeping this peace of Zuckerberg is, that Im waiting for something replacement of one from Apple.",1,0.898550725,0.898550725,0.870621059
70,0.520141602,Fraud. Facebook has always been fake and a big fraud nothing is private so be careful what you post on it,1,0.9,0.9,0.871040759
71,0.519997716,"Facebook App uses up Way Too much memory. Facebook platform/app is thumbs up as far as a social app , but I completely DISAGREE WITH FACT CHECKING It definitely VIOLATES MY FREEDOM OF SPEECH AND MY PRIVACYJoining Facebook Im offered choice if I want my account to be PUBLIC or PRIVATE AND FACEBOOK OFFERS CHOICES/OPTIONS FOR THE POSTS THE USER MAKES EITHER PUBLIC OR PRIVATE Now LETS GO BACK TO THE INITIAL CHOICE OF MAKING YOUR FACEBOOK ACCOUNT PUBLIC OR PRIVATE:1. My ACCOUNT IS PRIVATE 2.MY FRIENDS LIST IS PRIVATE 3.ANYTHING I POST IS PRIVATE AND ONLY MY FRIENDS AND FAMILY CAN VIEW MY POSTS , COMMENTS, AND PICTURES UNLESS I CHOOSE TO MAKE ANY OF IT PUBLIC.So if my account is not viewable in any way besides a profile picture, WHY ARE STRANGERS CALLED FACT CHECKERS ACCESSING MY PRIVATE PERSONAL INFORMATION AND DECIDING WHATS ACCEPTABLE AND WHATS NOT? IT COMPLETELY WRONG AND VIOLATES MY CONSTITUTIONAL RIGHTS TO FREEDOM OR SPEECH AND MY PRIVACY and along with a whole list of many other issues I will not post.. ( LETS NOT MENTION SCAMMERS AND CYBER CRIMINALS SPOOFING AND SCAMMING PEOPLE AND MAKING FACEBOOK ACCOUNT WITH YOUR NAME AND PICTUREIt was great in the beginning but now , personally feel violated in many ways.. what a shame..RUMBLE RUMBLE RUMBLE",1,0.901408451,0.901408451,0.871468473
72,0.519508362,"Spreads disinformation. Facebook knowingly allows the spread of dangerous disinformation. They do not remove posts that violate their policies, and they dont remove posts that are detrimental to society, the environment, and democracy.",0,0.888888889,0,0.859364744
73,0.516746998,"Big Brother is always watching you. Everything you do on this platform, you are being watched. Your data is gathered to use against you. Facebook, Meta, whatever you want to call it, passes major privacy laws. Do what you will with that information.",1,0.890410959,0.890410959,0.859790034
74,0.516372859,Beware of Being censored. Anything that you might share regardless off being true or not Facebook will censor if they find it not to be true. Keep doing it &amp; you will be thrown out of Facebook.,0,0.878378378,0,0.84817125
75,0.515633106,Thieves. Facebook is just inherently an immoral company and congealment of people. Zuccerberg has a god complex and his private property and wealth should be expropriated and Facebook nationalized as communications infrastructure,0,0.866666667,0,0.8368623
76,0.515576661,Facebook censors. Facebook has independent fact checkers paid for by Facebook. Doesnt sound very independent if you ask me. To the point that they will even fact check actual videos that we see with our own eyes and what we are seeing and why its not true. I am moving to Parler where everyone can post without Facebook censoring everyone. I have officially left Facebook.,0,0.855263158,0,0.825850954
77,0.514287949,"Standards. Facebook is trash, dont let them harvest your personal information like that.",1,0.857142857,0.857142857,0.826257342
78,0.513527274,"Your privacy is being assault by Facebook. Dont trust further this app and company :Facebook, Instagram and WhatsApp. They sneak into your privacy data and sale it and make all kinds of profit from it.",1,0.858974359,0.858974359,0.826676791
79,0.512687325,nazi lovers. facebook protects nazis and sells all of your private information,1,0.860759494,0.860759494,0.827108218
80,0.511731088,"I dont understand. Besides basically our full life, as you already have to AOL, xanga, MySpace. This app is ideal for Facebook interactions. You have full control of what you getNotified for all privacy settings etc. formed with meta-there are more things that you can do and control ultimately you pay a price to have full control but I dont understand the issue knowing that youre On social media a public domain. Facebook is great on browser and app and I prefer the app because of the updates I prefer the browser because of the old formation that is still available that very much helps with networking. Give it a chance",0,0.85,0,0.816769365
81,0.510094941,High tech industries spay on you because of Facebook. Facebook is bad it let the highTech company to access personal information. Its supper stupidity,1,0.851851852,0.851851852,0.817202482
82,0.50978446,"Disappointing. Im giving fb two stars because for awhile I have noticed people I am not associated with have pictures of my daughter on their Facebook. My daughter is only 4 years old. For what ever reason I cannot find where to make my profile completely private. The only things I can see that are private are my about me info and what ever I post/share. My featured photos cant be made private and it really irritates me that fb changed the privacy settings making it impossible for our profiles to be 100% private and inaccessible from people we dont know and arent friends with. Fb used to have better privacy settings that way when you set your profile to private absolutely no one youre not friends with can see your pictures or about me info. The more time passes and the more problems that pop up it makes me think the Facebook company as a whole does not care about its users right to complete privacy from random unknown people on the internet. I mean theres a setting to keep people from looking you up from a search engine hows that actually useful? Its useful in one aspect thats it. Id really like to be able to completely block out anyone I dont know without having to block everyone of those people, thats just time consuming.",1,0.853658537,0.853658537,0.817647068
83,0.50878042,"Facebook is garbage. You are the product, not the customer.",0,0.843373494,0,0.807795899
84,0.508404732,"Facts. Facebook does not like you telling the truth, facts dont matter to them If its untrue its a fact for Facebook Its being run by idiots, who get butt hurt over the littlest thing My two-year-old grandchild is more adult than the people running Facebook",0,0.833333333,0,0.798179281
85,0.508342981,"Major privacy concerns. Besides the annoying repetitive ads, major major major privacy invasion Why would you want Fb to see your offline activity? Sounds psychotic to me They can see everything outside the usage of app such as all private conversations, calls, bank apps, etc. It is a NO for me, mind boggling to say the least.",1,0.835294118,0.835294118,0.798615926
86,0.508115649,Review of Facebook. Their censorship and marketing of your personal information is highly unethical,1,0.837209302,0.837209302,0.799064686
87,0.50728786,"Facebook is a Cesspool. Cesspool of lies, politics, fake news, threats, sex and pornography, illegal immigration business and people fighting over their own 2 cents, political views and personal feelings. This social media can be used for so many illegal activities. I once reported an account of my friend that was made a copy and have been requesting us to accept her friend request and been asking for money but she said its not actually her and its been using all her details from name to photos. So what we did was report it to Facebook and the Goddamn reply was this dis not go against Facebook policy That blew me off",1,0.83908046,0.83908046,0.799524638
88,0.50660646,Its Facebook. They want to sell your personal data and ruin your life.,1,0.840909091,0.840909091,0.799994916
89,0.506480455,Boycott Facebook. Download if you want your personal data sold and shared with 3rd parties,1,0.842696629,0.842696629,0.80047471
90,0.506433487,Lets start with. The fact that facebook released data showing personal information to undisclosed persons. They have been hacked and Ive been shadow banned for sharing my opinions. I can not get on IG (owned by Facebook) and go live because Ive been banned. I cant add anything on marketplace across platforms for some reasons. Facebook is now being exposed in the news for hurting the minds of children and mowing about it and still putting profits over anything else. Disgusting app by small hat CEO.,1,0.844444444,0.844444444,0.800963263
91,0.506230533,Shame on FB. Facebook is not a place where you can express your views freely.  You can express what FB fact checkers deem facts.  They control what you see and hear.  It is a dangerous threat to our democracy to have this social media platform able to mold our perception of the world.   All social media platforms need oversight by a third party to ensure freedom of speech.  Bad,0,0.835164835,0,0.792161469
92,0.506120861,"Commie propaganda. Facebook has fallen victim to the commie propaganda. They fact check things, without any facts behind it. Hide the truth from the people. Cover for politicians when they mess up. And spread lies they try to push off as facts. You should all be ashamed of yourselves.",0,0.826086957,0,0.783551018
93,0.50184077,Facebook/Meta. This FB was designed to spy on people.  It has evil roots and everyones info is being gathered to further do damage to our world,1,0.827956989,0.827956989,0.784028502
94,0.500775933,Privacy Nightmare. Facebook wants way too much control over my phone and tracks a disturbing amount of data for what should essentially be just a web browser. Super creepy.,1,0.829787234,0.829787234,0.784515297
95,0.500674963,"Facebook the worst social media app. This app or better, this company more and more wants to spy on us, last to have access to our documents. Pat in the end to sell them, more and more they want to control their clients according to how they want to protect our information, everything is a lie.",1,0.831578947,0.831578947,0.785010703
96,0.498740882,Snoops on private data. Sick of things I text about or talk about showing up in ads on Facebook. I have tracking turned off.  Sick of the creepiness. Isnt it illegal to steal this data?,1,0.833333333,0.833333333,0.785514064
97,0.498027384,Facebook is liberal garbage. They sell your private information. Dont download this crap.,1,0.835051546,0.835051546,0.78602476
98,0.497738957,Liability. Facebook censored information about the origin of Covid and actually banned users for speaking the truth.I would give Facebook zero stars if I could.,0,0.826530612,0,0.778004099
99,0.495972365,Promotes Human Trafficking and other inappropriate behavior. This company believes they possess the virtual right to promote disgusting behavior. Facebook needs to either fix its privacy issues or get KICKED OFF THE APP STORE.,1,0.828282828,0.828282828,0.778511965
100,0.495391279,"Facebook intelligence. Facebook is using my camera, keyboard, restricting and modifying any information or news I receive. Its pretty funny how the number one social media app in the world is a tool to actually limit our human constitutional rights. People need to wake up.",1,0.83,0.83,0.779026845
101,0.493686438,DONT USE THIS APP. Not only will they censor what you believe in. Facebook sells your information which can lead to fraud calls or even death threats,1,0.831683168,0.831683168,0.779548195
102,0.492033601,"Private accounts. Although I dont use Facebook that often, I seriously do not understand why it is so difficult to private your account. Its like they dont want you to have privacy? Going into every tab and every little crevice of this app just to be able to private my account and I seriously cant find it. So annoying, wish it was easier.",1,0.833333333,0.833333333,0.7800755
103,0.491473466,"Tyrannical. Facebook is a left wing, free speech hating platform that censors the truth. They also sell your personal information.",1,0.834951456,0.834951456,0.780608277
104,0.491302162,Facebook is a scam. If youve watched the Facebook whistle blower video youll know that Facebook steals and sells your information. Facebook also is responsible for mass genocide and dividing our nation. F Facebook lol get zucced,1,0.836538462,0.836538462,0.781146067
105,0.490184635,Facebook is the real problem. Facebook is a scam. It can be blamed for all the problems facing society today with the number one issue being miss information. If you work for Facebook please find a new job and stop actively contributing to the problem.,0,0.828571429,0,0.77370658
106,0.488837272,"Social Media. Facebook is trash, your life will infinitely be better once you remove it from your mobile device.",0,0.820754717,0,0.766407462
107,0.48859638,"Censors information, claims to know all truth under the sun. Sick and tired of Facebook censoring posts with valuable information that the public ought to know.  Facebook censors truthful information while boosting falsehoods.",0,0.813084112,0,0.759244775
108,0.488553971,no privacy . no privacy for what do you need from,1,0.814814815,0.814814815,0.759759313
109,0.486475736,Need to fine another place. Facebook is not safe for privacy,1,0.816513761,0.816513761,0.760279996
110,0.48644501,Too much censorship. Who is Facebook to decide what is truthful information or not?  Sounds like censorship to me. Dont appreciate the fact that peoples First Amendment rights are being violated. This used to be a free country. Im not sure what we are now.,0,0.809090909,0,0.753368359
111,0.484595358,Facebook is a scam. They dont stand by their privacy and security at all. My profile got hacked that I had for 12 years and I reported it at least 30 times and every one of my friends on Facebook reported it. And Facebook did nothing about it. Never deleted the page or anything and I had a lot of personal information that the hacker used trying to spam others that where friends with me on Facebook.,1,0.810810811,0.810810811,0.753885859
112,0.4838503,"Facebook has 0 support and steals your information. I tried to make a Facebook account and it said my birth name wasnt real, so when I tried to click on the support option it tried to make me give them a picture of my ID with fine print saying theyll keep my ID in their database. There is no way around this because Facebook has 0 contact methods including phone calls, live chat or even email. Pathetic",1,0.8125,0.8125,0.754409199
113,0.483706117,"Write to your legislators. Privacy is important. Today Facebook has monopolized the social media applications in order to promote consumerism by selling our data. However, Facebook refuses to incorporate measures to protect people from human and child trafficking, drugs, cults, and racism. There needs to be laws on the books to hold those at Facebook accountable as they are the middle man. Finally, where are we going with this platform which reeks of entitlement? When you think about how corporations donate to political campaigns and what this platform has done to ruin presidential elections such as the one won by Trump- I say deactivate my account. I would rather talk to my real friends in person. Pick up a phone- reach out and touch someone. Personally, I would prefer it to a GIF or a like.",1,0.814159292,0.814159292,0.754937961
114,0.482537776,"Stalkers. I dont like the data linked to me you are tracking and selling to others. Deleted Facebook, Messenger, Instagram and WhatsApp. Will keep using more decent apps like Signal and Twitter. At least they dont spread conspiracy theories and misinformation like Facebook does.",1,0.815789474,0.815789474,0.755471747
115,0.481696427,"Get your family off the app. Their information is being stolen because they dont understand how selling information works. Try to get your family, especially elders and children to stop using the app, so much private information gets shared through Facebook because they believe they are posting privately when most of the time they very much arent.",1,0.817391304,0.817391304,0.756010177
116,0.481229216,Sensorship. Facebook deactivated my account because I said this Imagine spying on the trump campaign then lying to the American people about it.,0,0.810344828,0,0.749492848
